,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed
0,Cape Town,-33.93,18.42,47,80.4,0,11.41
1,Mandurah,-32.55,115.7,55,63.84,0,10.29
2,Dunedin,-45.87,170.5,83,60.01,76,5.99
3,Auki,12.18,6.51,20,100.71,0,4.61
4,Haverhill,52.08,0.44,54,53.87,40,6.93
5,Samarai,-10.62,150.67,100,76.59,92,4.94
6,Hamilton,32.3,-64.78,72,68.97,75,17.22
7,Baraboo,43.47,-89.74,69,36.52,1,5.82
8,Tasiilaq,65.61,-37.64,48,17.6,20,10.29
9,Avarua,-21.21,-159.78,94,78.8,68,3.36
10,Saldanha,41.42,-6.55,27,69.3,0,9.08
11,New Norfolk,-42.78,147.06,77,64.38,75,9.17
12,Shingu,33.72,135.99,100,49.05,0,15.68
13,Geraldton,49.72,-86.95,46,30.2,20,12.75
14,Bluefield,37.27,-81.22,48,39.29,1,6.96
15,Hilo,19.71,-155.08,88,64.69,75,4.7
16,Bluff,-23.58,149.07,76,74.88,0,7.74
17,Falavarjan,32.56,51.51,17,58.51,20,13.87
18,Vaini,15.34,74.49,60,79.38,0,2.26
19,Dikson,73.51,80.55,94,11.61,68,23.06
20,Srednekolymsk,67.46,153.71,67,-1.18,56,2.26
21,Ancud,-41.87,-73.83,76,55.4,75,2.71
22,Klaten,-7.71,110.6,94,75.2,40,3.36
23,Clyde River,70.47,-68.59,75,-18.41,75,14.99
24,Oxford,33.61,-85.83,57,52.32,1,11.41
25,Kaeo,-35.1,173.78,94,57.99,8,2.71
26,Qom,34.64,50.88,57,54.81,32,2.48
27,Mar del Plata,-46.43,-67.52,89,54.63,92,16.46
28,Marovoay,-16.11,46.64,74,87.8,20,4.7
29,Florence,34.8,-87.68,57,51.51,1,4.7
30,Port Alfred,-33.59,26.89,84,81.07,0,8.99
31,Gat,14.69,-16.54,53,77.0,0,17.22
32,Isangel,-19.55,169.27,100,78.48,80,15.68
33,Kodiak,39.95,-94.76,33,46.47,90,14.99
34,Ahmadpur,18.7,76.94,32,80.55,0,6.96
35,Arraial do Cabo,-22.97,-42.02,69,80.55,40,6.93
36,Lodja,-3.52,23.6,82,77.22,64,4.72
37,Rikitea,-23.12,-134.97,100,78.21,76,19.82
38,Mataura,-46.19,168.86,87,57.99,20,1.81
39,Salalah,17.01,54.1,69,82.4,40,13.87
40,Almaznyy,48.03,40.04,52,42.8,40,15.66
41,Ushuaia,-54.81,-68.31,93,48.2,75,3.36
42,Bellavista,6.57,-76.89,81,80.73,8,2.93
43,Busselton,-33.64,115.35,42,51.64,0,14.12
44,Haapiti,-17.57,-149.87,83,78.39,44,2.24
45,Ternate,14.29,120.72,69,82.22,20,11.41
46,Provideniya,64.42,-173.23,100,14.76,92,10.31
47,Casa Grande,32.88,-111.76,57,51.35,1,6.93
48,Zhaoqing,23.05,112.47,1,59.0,92,7.85
49,Longyearbyen,78.22,15.63,85,21.2,75,9.17
50,Te Anau,-45.41,167.72,86,45.72,76,2.37
51,Port Elizabeth,39.31,-74.98,52,41.5,1,17.22
52,Helong,25.94,116.13,99,50.13,92,2.93
53,Albany,42.65,-73.75,63,28.06,75,25.28
54,Jamestown,-33.21,138.6,96,62.46,92,6.62
55,Barrow,-38.31,-60.23,60,72.99,12,20.15
56,Cherskiy,68.75,161.3,43,-14.5,0,2.26
57,Yar-Sale,66.83,70.83,90,23.58,88,6.73
58,Bredasdorp,-34.53,20.04,65,78.8,12,17.22
59,Hermanus,-34.42,19.24,30,86.94,20,3.38
60,Upernavik,72.79,-56.15,100,-7.03,36,11.32
61,Ilulissat,69.22,-51.1,39,-7.61,20,19.46
62,Benguela,-12.58,13.4,70,87.8,20,20.8
63,Sovetskiy,56.76,48.47,96,32.31,64,5.73
64,Port-Gentil,-0.72,8.78,70,89.6,40,13.87
65,Georgetown,6.8,-58.16,66,85.17,40,13.87
66,Kapaa,22.08,-159.32,78,69.78,90,17.22
67,Lorengau,-2.02,147.27,98,82.8,76,10.31
68,Gold Coast,-28.0,153.41,83,76.89,90,9.17
69,Yellowknife,62.45,-114.38,64,0.77,20,8.05
70,Alofi,-19.06,-169.92,83,73.4,8,6.93
71,Punta Arenas,-53.16,-70.91,81,50.61,20,5.82
72,Najran,17.54,44.22,17,93.2,40,13.87
73,Tiksi,71.64,128.87,77,1.8,68,2.93
74,Uglezavodsk,47.32,142.63,77,5.0,8,4.47
75,Komsomolskiy,67.55,63.78,80,19.08,76,10.2
76,Marivan,35.52,46.18,92,42.3,80,1.59
77,Borogontsy,62.67,131.17,70,6.3,68,6.73
78,Chokurdakh,70.62,147.9,51,-17.65,48,2.93
79,Raigarh,21.9,83.39,30,76.05,0,7.63
80,Darab,28.75,54.55,98,44.28,44,1.7
81,East London,-33.02,27.91,69,78.8,0,20.8
82,Irbeyskoye,55.64,95.45,83,25.56,88,2.93
83,Thompson,55.74,-97.86,68,26.6,75,17.22
84,Garowe,8.41,48.48,33,88.56,0,7.07
85,Tuatapere,-46.13,167.69,87,57.99,76,5.28
86,Noumea,-22.28,166.46,69,78.8,0,4.7
87,Dingle,11.0,122.67,71,78.66,32,13.44
88,Palmerston,43.83,-80.85,45,25.38,1,17.22
89,Pevek,69.7,170.27,64,-22.15,0,2.48
90,Skibbereen,51.55,-9.27,87,48.2,75,5.82
91,Namatanai,-3.66,152.44,98,82.98,76,10.42
92,Carnarvon,-30.97,22.13,14,86.94,68,14.12
93,Sitka,37.17,-99.65,98,46.99,8,11.01
94,Kavaratti,10.57,72.64,100,83.61,0,8.75
95,Axim,4.87,-2.24,93,84.69,36,15.01
96,Loei,17.49,101.72,44,84.0,12,5.73
97,Kungurtug,50.6,97.53,70,9.99,0,3.71
98,Port Hardy,50.7,-127.42,93,37.4,75,4.7
99,Nsanje,-16.92,35.26,99,74.25,92,5.84
100,Touros,-5.2,-35.46,94,77.0,75,4.7
101,Beringovskiy,63.05,179.32,91,7.11,88,20.83
102,Khandyga,62.65,135.58,40,-13.69,8,2.59
103,Shache,38.42,77.24,62,43.83,0,1.92
104,Khatanga,71.98,102.47,73,-11.08,48,6.4
105,Valparaiso,41.47,-87.06,74,36.09,1,3.36
106,Ponta do Sol,-20.63,-46.0,86,75.06,8,8.41
107,Saskylakh,71.97,114.09,53,-18.55,12,3.6
108,Carutapera,-1.2,-46.02,90,81.63,56,7.4
109,San Ignacio,-36.8,-72.03,63,64.4,0,13.87
110,Pudozh,61.81,36.54,93,35.01,92,18.14
111,Charters Towers,-20.07,146.27,85,75.51,88,8.19
112,Copiapo,-27.37,-70.33,77,60.8,90,5.82
113,Garissa,-0.46,39.64,33,95.94,0,9.19
114,East Wenatchee Bench,47.43,-120.28,70,38.03,1,3.36
115,Bethel,60.79,-161.76,86,35.15,1,4.7
116,Sorong,-0.86,131.25,100,81.81,88,11.21
117,Akdepe,42.05,59.39,48,57.16,0,6.93
118,Kruisfontein,-34.0,24.73,75,75.33,0,11.65
119,Cam Ranh,11.92,109.15,83,84.2,40,3.36
120,Russell,-33.01,-68.8,63,66.2,0,5.82
121,Futtsu,35.23,139.9,100,42.35,75,5.82
122,Butaritari,3.07,172.79,100,81.18,68,7.96
123,Vestmannaeyjar,63.44,-20.27,100,39.96,92,21.72
124,Victoria,5.28,115.24,83,83.12,75,3.36
125,Harper,30.3,-99.24,93,60.49,90,8.05
126,Sao Gabriel da Cachoeira,-0.13,-67.09,70,86.0,20,1.12
127,Castro,-42.48,-73.76,76,55.4,75,3.15
128,Dobroye,52.86,39.81,93,33.48,8,14.67
129,Broome,52.47,1.45,50,52.75,0,8.05
130,Paamiut,61.99,-49.67,100,18.36,8,9.64
131,Katsuura,33.93,134.5,86,37.83,20,5.82
132,Cabo San Lucas,22.89,-109.91,63,62.38,5,9.17
133,Vao,59.1,26.19,97,38.52,92,14.12
134,Cabra,37.47,-4.43,28,66.07,0,9.17
135,Nikolskoye,59.7,30.79,41,42.42,40,11.18
136,San Cristobal,-0.39,-78.55,72,55.53,40,4.7
137,Hualmay,-11.1,-77.61,77,74.16,32,4.05
138,Kachiry,53.07,76.1,76,20.79,12,2.93
139,Sotouboua,8.56,0.98,63,88.38,56,4.38
140,Mareeba,-16.99,145.42,88,75.99,40,9.17
141,Buala,-8.15,159.59,97,80.55,48,4.94
142,Hobart,-42.88,147.33,77,64.38,75,9.17
143,Spas,50.05,24.48,13,55.4,0,2.24
144,Cayenne,4.94,-52.33,58,87.8,0,16.11
145,Enshi,30.29,109.48,93,37.71,80,2.71
146,Atuona,-9.8,-139.03,100,81.81,56,15.35
147,Vostok,46.45,135.83,57,12.15,44,4.05
148,Rio Grande,-32.03,-52.1,60,75.2,40,9.17
149,Kuryk,43.18,51.68,77,46.89,0,7.96
150,Innisfail,52.02,-113.95,92,29.14,75,5.17
151,Fort Myers Beach,26.45,-81.95,59,63.64,1,9.17
152,Caravelas,-17.73,-39.27,100,79.65,92,19.37
153,Culiacan,24.8,-107.39,87,57.2,5,5.28
154,Ihosy,-22.4,46.13,68,74.43,76,6.96
155,Sao Filipe,14.9,-24.5,91,72.45,0,14.12
156,Along,28.17,94.8,95,53.91,64,1.59
157,Richards Bay,-28.77,32.06,90,74.52,80,7.74
158,Imuris,30.78,-110.86,56,45.63,24,3.38
159,Pacific Grove,36.62,-121.92,87,50.41,90,3.36
160,Norman Wells,65.28,-126.83,78,17.6,90,23.04
161,Bilibino,68.06,166.44,47,-17.02,0,2.26
162,Ossipee,36.17,-79.51,34,49.35,1,10.29
163,Klaksvik,62.23,-6.59,65,41.0,76,25.28
164,Inirida,3.87,-67.92,94,76.23,88,2.71
165,Hofn,64.25,-15.21,100,35.91,48,3.04
166,Souillac,45.6,-0.6,26,71.06,0,5.82
167,Hithadhoo,-0.6,73.08,100,87.03,56,5.61
168,Maiduguri,11.84,13.15,15,105.48,68,4.38
169,Kaitangata,-46.28,169.85,92,56.43,88,3.15
170,Cidreira,-30.17,-50.22,97,72.36,20,4.27
171,Taitung,22.76,121.15,100,62.91,80,18.7
172,Redwater,53.95,-113.11,92,27.09,90,2.24
173,Saint George,39.45,22.34,37,65.17,20,8.05
174,Dubinino,55.62,89.08,86,26.64,48,5.39
175,Saint-Philippe,45.36,-73.48,68,24.37,90,20.8
176,Pisco,-13.71,-76.2,30,71.6,20,4.7
177,Alice Town,25.72,-79.3,100,71.91,0,5.39
178,Hay River,60.82,-115.79,72,14.0,90,17.22
179,Adrar,27.87,-0.29,28,78.8,0,13.87
180,Qaanaaq,77.48,-69.36,66,-23.23,0,10.42
181,Blackwater,51.33,-0.78,54,55.15,64,9.17
182,Dolores,-36.31,-57.68,69,72.0,36,11.99
183,Tokonou,9.65,-9.78,60,88.02,12,9.08
184,Keetmanshoop,-26.57,18.15,9,101.88,0,3.6
185,Bambous Virieux,-20.34,57.76,79,82.45,75,11.41
